StockTwits,1.0
howardlindzon,2.0
TraderFlorida,3.0
harmongreg,4.0
alphatrends,5.0
technicalanalysistrader,6.0
upsidetrader,7.0
KeeneOnTheMarketDotCom,8.0
gtotoy,9.0
JimCramer,10.0
1nvestor,11.0
trending123,12.0
Fibline,13.0
traderstewie,14.0
JEQ_investor,15.0
GCH_investor,16.0
StockTiger,17.0
reformedbroker,18.0
PeterLBrandt,19.0
ZorTrades,20.0
OptionsHawk,21.0
ppearlman,22.0
chartly,23.0
abnormalreturns,24.0
OptionsCommander,25.0
RedDogT3Live,26.0
MarketWatch,27.0
daytrend,28.0
mb_willoughby,29.0
DanZanger,30.0
jfahmy,31.0
stevenplace,32.0
ivanhoff,33.0
annemarietrades,34.0
MXF_investor,35.0
exodustradingsystems,36.0
ToddSullivan,37.0
SunriseTrader,38.0
Street_Insider,39.0
Ritholtz,40.0
TodayTrader,41.0
CMEGroup,42.0
LDrogen,43.0
TheArmoTrader,44.0
jaltucher,45.0
BuyOnTheDip,46.0
FITZSTOCK2004,47.0
smbcapital,48.0
herbgreenberg,49.0
stt2318,50.0
chessNwine,51.0
Benzinga,52.0
StockTwits50,53.0
sspencer_smb,54.0
szaman,55.0
biggercapital,56.0
The_Real_Fly,57.0
HCPG,58.0
DougKass,59.0
APB_investor,60.0
alaidi,61.0
BloombergNews,62.0
RagheeHorner,63.0
downtowntrader,64.0
chicagosean,65.0
StockSage1,66.0
allstarcharts,67.0
PPointTrading,68.0
webirtweets,69.0
ACInvestorBlog,70.0
marketfolly,71.0
protradermike,72.0
EyeSkyTradePlan,73.0
bclund,74.0
TheFibDoctor,75.0
StockkyDayTrades,76.0
Jamtrades,77.0
afraidtotrade,78.0
agwarner,79.0
ManicTrader,80.0
WBPOnline,81.0
DarvasTrader,82.0
tickerville,83.0
paulwoll,84.0
Aapl_pain,85.0
TradeIdeasQuant,86.0
adamfeuerstein,87.0
CircadianGroup,88.0
stockuverse,89.0
KeithMcCullough,90.0
JWCommodities,91.0
YahooFinance,92.0
TrendRida,93.0
ChartLabPro,94.0
AnniDayTrades,95.0
derekhernquist,96.0
hedgefundinvest,97.0
EverFX,98.0
RaginCajun,99.0
PsychTrader,100.0
bespokeinvest,101.0
StockCoach,102.0
optionMONSTER,103.0
HFTAlert,104.0
aiki14,105.0
CNNMoney,106.0
wsmco,107.0
BlueFielder,108.0
futurestrader71,109.0
pkedrosky,110.0
fredwilson,111.0
WeeklyTA,112.0
MBForex,113.0
zerobeta,114.0
Legacy_Trades,115.0
kunal00,116.0
TradeIdeas1,117.0
StockMosaics,118.0
jackdamn,119.0
kevinrose,120.0
Xiphos_Trading,121.0
vader7x,122.0
vcutrader,123.0
TurnKeyOil,124.0
atelieruk,125.0
RatioTrader,126.0
nickfenton,127.0
EddyElfenbein,128.0
TradingMavens,129.0
danielmardorf,130.0
likeabause,131.0
CBOE,132.0
johnkicklighter,133.0
TradeIdeas,134.0
earningstrading,135.0
ryujel,136.0
daytrader111,137.0
sssc,138.0
TheKirkReport,139.0
ContrarianTrading,140.0
missyaubaby,141.0
SFBCharlie,142.0
crudeoiltrader,143.0
FousAlert,144.0
markminervini,145.0
PipCzar,146.0
CVecchioFX,147.0
AbdulQadeer,148.0
hertcapital,149.0
tradefast,150.0
timothysykes,151.0
fousalerts,152.0
THENEXTBIGTRADEIDEA,153.0
buffalod,154.0
Scobleizer,155.0
RCM23Tiger,156.0
MorinRon,157.0
condoroptions,158.0
optionsizzle,159.0
Techinsidr,160.0
ar2642,161.0
AndrewhFX,162.0
WallStreetBean,163.0
BioRunUp,164.0
TheStreet,165.0
firstadopter,166.0
reuvenohr,167.0
ericjackson,168.0
rsblades,169.0
optionalpha,170.0
Rockstone,171.0
TimSeymour,172.0
infoarbitrage,173.0
GuyAdami,174.0
BobBrinker,175.0
TALENTEDBLONDE,176.0
abubnic,177.0
z8angela,178.0
faithmight,179.0
AbbyDoolittle,180.0
EdMatts,181.0
NicTrades,182.0
gtlackey,183.0
OMillionaires,184.0
livevol_pro,185.0
tradingpoints,186.0
Cham,187.0
SJosephBurns,188.0
sorenmacbeth,189.0
TheStockLife,190.0
crosshairtrader,191.0
T3Live,192.0
gigaom,193.0
jsaettele,194.0
thinkingtrades,195.0
optionbob,196.0
Spyder_Crusher,197.0
briefingcom,198.0
CashisTrash,199.0
zerosum24,200.0
FearTheVIX,201.0
Jazztrumpet,202.0
writingservices,203.0
chartingstock,204.0
MktAnthropology,205.0
gregmikefx,206.0
ChartSwingTrade,207.0
WScottONeil,208.0
chartsmarter,209.0
lamonicabuzz,210.0
MontrealDayTrading,211.0
jeffrobinson,212.0
The_Analyst,213.0
Hedgeye,214.0
ronin245,215.0
stephanie_link,216.0
247WallSt,217.0
GSP,218.0
NoDoji,219.0
GregorMacdonald,220.0
Hamzei_Analytics,221.0
